Name,OutlierTest
n-Octanal,true
2-Octanone,true
Octan-2-ol,true
Benzyl alcohol,true
4-Fluoroaniline,true
Phenyl acetate,true
1-Phenyl ethanol,true
"2,6-Dimethylphenol",true
2-Chlorophenol,true
2-Methylphenol,true
Cyclohexanol,true
Bromobenzene,true
n-Heptanal,true
Benzaldehyde,true
Acetophenone,true
Methyl benzoate,true
Styrene,true
3-Methylphenol,true
Octan-1-ol,true
"1,3-Dichlorobenzene",true
Cyclohexanone,true
4-Methylphenol,true
"1,2-Dichlorobenzene",true
Linalool,true
Aniline,true
n-Butylbenzene,true
Heptan-2-one,true
Nonan-2-one,true
Nitrobenzene,true
n-Nonanal,true
1-Phenyl-2-propanol,true
Hexan-1-ol,true
Chlorobenzene,true
2-Nitrophenol,true
"3,5-Dimethylphenol",true
2-Chloroaniline,true
Phenol,true
