Name,OutlierTest
"2,4,6-Trimethylpyridine",true
Octanal,true
2-Octanone,true
"1,3-Dichlorobenzene",true
3-Chlorophenol,true
Cycloheptanon,true
Benzaldehyde,true
"1,2-Dichlorobenzene",true
4-Fluoroaniline,true
Aniline,true
Dibenzylamine,true
Iodobenzene,true
Benzonitril,true
Undecan,true
N-Methylaniline,true
Acetophenone,true
4-Methylphenol,true
Benzyl alcohol,true
"2,4-Dimethylphenol",true
"1,2,4-Trichlorbenzol",true
Naphthalene,true
"1,3-Dibromobenzene",true
4-Chlorphenol,true
4-Chloranilin,true
Chinolin,true
2-Methylnaphthalen,true
"1,2,4,5-Tetrachlorbenzol",true
Valerophenone,true
Cinnamaldehyde,true
Butyl benzoate,true
Diphenylether,true
Acenaphthylene,true
1-Bromonaphthalene,true
Dibenzofuran,true
1-Naphthol,true
"1,3-Dinitrobenzol",true
Fluorene,true
Diphenylamine,true
1-Nitronaphthalene,true
Benzophenone,true
2-phenylethenylbenzene,true
Hexachlorbenzol,true
Phenanthrene,true
Dibutyl Phthalate,true
Carbazole,true
Fluoranthene,true
Pyrene,true
4-Methyl-2-Nitrophenol,true
2-Nitrotoluol,true
Butyrophenone,true
Indole,true
Biphenyl,true
"2,4-Dinitrotoluol",true
Benzyl benzoate,true
Benzo[h]quinoline,true
Anthracene,true
Acridine,true
Diphenylsulfoxide,true
1-Methylanthracene,true
"2,4,6-Trichlorophenol",true
Diethyl phthalate,true
Dibenzothiophene,true
Anthrachinon,true
1-Benzofuran,true
"2,3-Dimethylphenol",true
Coumarin,true
